# Parsed DOID file.
# Columns are source id, dest id.
DOID:0050853	DOID:10128
DOID:0050854	DOID:0050736
DOID:0050855	DOID:557
DOID:0050856	DOID:0060038
DOID:0050857	DOID:0050737
DOID:0050858	DOID:225
DOID:0050859	DOID:1679
DOID:0050860	DOID:4610
DOID:0050861	DOID:9256
DOID:0050862	DOID:345
DOID:0050863	DOID:12010
DOID:0050864	DOID:12010
DOID:0050865	DOID:8649
DOID:0050866	DOID:8618
DOID:0050867	DOID:225
DOID:0050868	DOID:657
DOID:0050869	DOID:657
DOID:0050870	DOID:1324
DOID:0050871	DOID:0060084
DOID:0050872	DOID:4556
DOID:0050873	DOID:0060060
DOID:0050875	DOID:5409
DOID:0050876	DOID:4138
DOID:0050877	DOID:26
DOID:0050879	DOID:0050953
DOID:0050880	DOID:225
DOID:0050881	DOID:225
DOID:0050882	DOID:1441
DOID:0050883	DOID:1289
DOID:0050884	DOID:4194
DOID:0050885	DOID:225
DOID:0050887	DOID:0050736
DOID:0050888	DOID:1059
DOID:0050889	DOID:1059
DOID:0050890	DOID:1289
DOID:0050891	DOID:656
DOID:0050892	DOID:5719
DOID:0050893	DOID:0050625
DOID:0050894	DOID:0060084
DOID:0050895	DOID:0060094
DOID:0050896	DOID:2762
DOID:0050897	DOID:3371
DOID:0050898	DOID:0060094
DOID:0050899	DOID:4203
DOID:0050900	DOID:4153
DOID:0050901	DOID:3187
DOID:0050902	DOID:4706
DOID:0050903	DOID:14384
DOID:0050904	DOID:8850
DOID:0050905	DOID:3350
DOID:0050906	DOID:0060096
DOID:0050907	DOID:3306
DOID:0050908	DOID:4960
DOID:0050909	DOID:0060060
DOID:0050910	DOID:1517
DOID:0050911	DOID:11239
DOID:0050912	DOID:235
DOID:0050913	DOID:5672
DOID:0050914	DOID:4610
DOID:0050915	DOID:1984
DOID:0050916	DOID:1325
DOID:0050917	DOID:5421
DOID:0050918	DOID:119
DOID:0050919	DOID:4876
DOID:0050920	DOID:8858
DOID:0050921	DOID:0060119
DOID:0050922	DOID:3119
DOID:0050923	DOID:3963
DOID:0050924	DOID:4045
DOID:0050925	DOID:10154
DOID:0050926	DOID:13499
DOID:0050927	DOID:1737
DOID:0050928	DOID:2394
DOID:0050929	DOID:1909
DOID:0050930	DOID:8849
DOID:0050931	DOID:9036
