DOID:0050650	OMIM:614050
DOID:0050650	OMIM:615377
DOID:0050650	OMIM:615378
DOID:0050650	OMIM:615770
DOID:0050651	OMIM:600309
DOID:0050651	OMIM:606215
DOID:0050651	OMIM:606217
DOID:0050651	OMIM:614430
DOID:0050651	OMIM:614474
DOID:12559	OMIM:259750
DOID:9574	OMIM:608911
DOID:0050658	OMIM:149200
DOID:0050659	OMIM:607483
DOID:14735	OMIM:106100
DOID:14735	OMIM:610618
DOID:9352	OMIM:125853
DOID:9352	OMIM:601283
DOID:9352	OMIM:601407
DOID:9352	OMIM:603694
DOID:9352	OMIM:608036
DOID:5453	OMIM:265450
DOID:5327	OMIM:312530
DOID:0050722	OMIM:601815
DOID:0050723	OMIM:610992
DOID:0050720	OMIM:238970
DOID:0050726	OMIM:276700
DOID:0050727	OMIM:276710
DOID:0050724	OMIM:614023
DOID:0050725	OMIM:276600
DOID:0050729	OMIM:275630
DOID:0050908	OMIM:614286
DOID:0050902	OMIM:155255
DOID:3687	OMIM:540000
DOID:5520	OMIM:275355
DOID:1827	OMIM:600669
DOID:1827	OMIM:604827
DOID:1827	OMIM:606972
DOID:1827	OMIM:607628
DOID:1827	OMIM:607682
DOID:1827	OMIM:608762
DOID:1827	OMIM:609750
DOID:1827	OMIM:611136
DOID:1827	OMIM:611934
DOID:1827	OMIM:612899
DOID:1827	OMIM:613060
DOID:1827	OMIM:614847
DOID:13366	OMIM:184850
DOID:0050835	OMIM:128100
DOID:0050833	OMIM:258900
DOID:0050831	OMIM:604218
DOID:11633	OMIM:188570
DOID:11633	OMIM:274300
DOID:11634	OMIM:255900
DOID:0080088	OMIM:614157
DOID:0080089	OMIM:160565
DOID:0080089	OMIM:615883
DOID:0080086	OMIM:607523
DOID:0080087	OMIM:614149
DOID:0080084	OMIM:107000
DOID:0080085	OMIM:605779
DOID:0080082	OMIM:206800
DOID:0080083	OMIM:164800
DOID:0080080	OMIM:149300
DOID:0080081	OMIM:151600
DOID:13774	OMIM:103230
DOID:13774	OMIM:240200
DOID:14004	OMIM:132900
DOID:14004	OMIM:607086
DOID:14004	OMIM:607087
DOID:14004	OMIM:611788
DOID:14004	OMIM:613780
DOID:14004	OMIM:615436
DOID:11459	OMIM:243200
DOID:2224	OMIM:187950
DOID:2224	OMIM:300331
DOID:2224	OMIM:601977
DOID:2224	OMIM:614521
DOID:3310	OMIM:603165
DOID:3310	OMIM:605803
DOID:3310	OMIM:605804
DOID:3310	OMIM:605805
DOID:3310	OMIM:605844
DOID:3310	OMIM:605845
DOID:3310	OMIM:613064
DOID:3310	OMIM:613518
DOID:3310	OMIM:613519
DOID:3315	OMIM:151900
DOID:12309	OMIM:154800
DOID:4279	OMIM:604451
DOID:14250	OMIM:190685
DOID:6364	OMIM:157300
DOID:6364	OMIM:613656
DOID:13911	OMIM:216900
DOID:13911	OMIM:262300
DOID:13911	OMIM:613856
DOID:13911	OMIM:616517
DOID:6419	OMIM:187500
DOID:0060299	OMIM:612446
DOID:0060298	OMIM:614379
DOID:0060295	OMIM:217000
DOID:11044	OMIM:230750
DOID:0060293	OMIM:118650
DOID:0060293	OMIM:118651
DOID:0060293	OMIM:602497
DOID:684	OMIM:114550
DOID:350	OMIM:154800
DOID:11199	OMIM:146200
DOID:11199	OMIM:307700
DOID:1324	OMIM:211980
DOID:1324	OMIM:608935
DOID:1324	OMIM:612571
DOID:1324	OMIM:612593
DOID:1324	OMIM:614210
DOID:0060342	OMIM:603671
DOID:0060341	OMIM:202650
DOID:11193	OMIM:185900
DOID:11193	OMIM:186100
DOID:11193	OMIM:186200
DOID:11193	OMIM:186300
DOID:0050641	OMIM:268150
DOID:0050640	OMIM:607095
DOID:0050643	OMIM:206800
DOID:0050642	OMIM:206100
DOID:0050642	OMIM:615234
DOID:0050645	OMIM:208050
DOID:0050644	OMIM:208000
DOID:0050644	OMIM:614473
DOID:0050647	OMIM:301835
DOID:0050646	OMIM:108120
DOID:0050646	OMIM:108145
DOID:0050646	OMIM:108200
DOID:0050646	OMIM:114300
DOID:0050646	OMIM:121050
DOID:0050646	OMIM:121070
DOID:0050646	OMIM:158300
DOID:0050646	OMIM:178110
DOID:0050646	OMIM:187370
DOID:0050646	OMIM:193700
DOID:0050646	OMIM:601680
DOID:0050646	OMIM:609128
DOID:0050646	OMIM:614335
DOID:0050646	OMIM:615065
DOID:0050649	OMIM:209300
DOID:0050648	OMIM:108720
DOID:0050648	OMIM:108721
DOID:0050648	OMIM:256050
DOID:5844	OMIM:608446
DOID:5844	OMIM:608557
DOID:14743	OMIM:190350
DOID:14743	OMIM:190351
DOID:14749	OMIM:251100
DOID:14749	OMIM:251110
DOID:5688	OMIM:277700
DOID:5684	OMIM:271510
DOID:0050734	OMIM:261000
DOID:0050730	OMIM:607426
DOID:0050730	OMIM:612016
DOID:0050730	OMIM:614650
DOID:0050730	OMIM:614651
DOID:0050730	OMIM:614652
DOID:0050730	OMIM:614654
DOID:4621	OMIM:142945
DOID:4621	OMIM:142946
DOID:4621	OMIM:157170
DOID:4621	OMIM:236100
DOID:4621	OMIM:605934
DOID:4621	OMIM:609408
DOID:4621	OMIM:609637
DOID:4621	OMIM:610828
DOID:4621	OMIM:610829
DOID:4621	OMIM:614226
DOID:9212	OMIM:173200
DOID:3070	OMIM:137800
DOID:3070	OMIM:607248
DOID:3070	OMIM:613028
DOID:3070	OMIM:613029
DOID:3070	OMIM:613030
DOID:3070	OMIM:613031
DOID:3070	OMIM:613032
DOID:3070	OMIM:613033
DOID:10487	OMIM:142623
DOID:10487	OMIM:600155
DOID:10487	OMIM:613711
DOID:10487	OMIM:613712
DOID:12185	OMIM:166800
DOID:12185	OMIM:605727
DOID:12185	OMIM:608244
DOID:12185	OMIM:608484
DOID:12185	OMIM:611571
DOID:12185	OMIM:611572
DOID:12185	OMIM:612096
DOID:12185	OMIM:615589
DOID:10488	OMIM:207500
DOID:10488	OMIM:301800
DOID:1811	OMIM:604335
DOID:4481	OMIM:607154
DOID:0050524	OMIM:125850
DOID:0050524	OMIM:125851
DOID:0050524	OMIM:137920
DOID:0050524	OMIM:600496
DOID:0050524	OMIM:606391
DOID:0050524	OMIM:606392
DOID:0050524	OMIM:606394
DOID:0050524	OMIM:609812
DOID:0050524	OMIM:610508
DOID:0050524	OMIM:612225
DOID:0050524	OMIM:613370
DOID:0050524	OMIM:613375
DOID:0050524	OMIM:616329
DOID:0050524	OMIM:616511
DOID:0080099	OMIM:500011
DOID:0080099	OMIM:600462
DOID:0080099	OMIM:613561
DOID:0080098	OMIM:613869
DOID:0080091	OMIM:182920
DOID:0080090	OMIM:300717
DOID:0080090	OMIM:300718
DOID:0080093	OMIM:608810
DOID:0080092	OMIM:601419
DOID:0080095	OMIM:609452
