DOID:13722	MESH:D020818
DOID:13725	MESH:D001602
DOID:13724	MESH:D012614
DOID:7008	MESH:D001254
DOID:3218	MESH:D007580
DOID:11554	MESH:D057129
DOID:14075	MESH:D005155
DOID:552	MESH:D011014
DOID:7005	MESH:D001254
DOID:11550	MESH:D015840
DOID:3211	MESH:D016464
DOID:635	MESH:D000163
DOID:14423	MESH:D020435
DOID:12926	MESH:D007000
DOID:12927	MESH:D012610
DOID:631	MESH:D005356
DOID:630	MESH:D030342
DOID:633	MESH:D009220
DOID:14422	MESH:D004154
DOID:2074	MESH:D007416
DOID:13891	MESH:D001716
DOID:639	MESH:D004673
DOID:12929	MESH:D004695
DOID:8568	MESH:D007244
DOID:9553	MESH:D000307
DOID:2272	MESH:D002181
DOID:2273	MESH:D014848
DOID:8566	MESH:D006561
DOID:8567	MESH:D006689
DOID:2277	MESH:D006058
DOID:2275	MESH:D010608
DOID:2275	MESH:D010612
DOID:4702	MESH:D049328
DOID:12639	MESH:D011707
DOID:14449	MESH:D006060
DOID:11165	MESH:D014860
DOID:120	MESH:D005833
DOID:14447	MESH:D006059
DOID:127	MESH:D007889
DOID:6193	MESH:D012509
DOID:6196	MESH:D016918
DOID:14289	MESH:D004437
DOID:14286	MESH:D001177
DOID:14284	MESH:D046788
DOID:13949	MESH:D018856
DOID:13948	MESH:D001748
DOID:3385	MESH:D016585
DOID:13945	MESH:D046589
DOID:769	MESH:D009447
DOID:9074	MESH:D008180
DOID:10944	MESH:D014060
DOID:10941	MESH:D002532
DOID:7912	MESH:D009837
DOID:11014	MESH:C537771
DOID:12704	MESH:D001260
DOID:12705	MESH:D005621
DOID:12700	MESH:D002640
DOID:12700	MESH:D006966
DOID:1770	MESH:D008532
DOID:3635	MESH:D020294
DOID:3982	MESH:D008538
DOID:10383	MESH:D020968
DOID:1517	MESH:D002430
DOID:5577	MESH:D015408
DOID:0060538	MESH:D055665
DOID:5093	MESH:D013899
DOID:1518	MESH:D002429
DOID:12449	MESH:D000741
DOID:9958	MESH:D006409
DOID:7894	MESH:D008924
DOID:9955	MESH:D018636
DOID:9953	MESH:D015456
DOID:9428	MESH:D019586
