# UNIPROT	ENSEMBL
Q15223	ENSP00000344974
P20020	ENSP00000352054
Q9H773	ENSP00000322524
O14744	ENSP00000319169
Q15742	ENSP00000300131
Q15223	ENSP00000264025
P06213	ENSP00000342838
Q15742	ENSP00000341491
Q15223	ENSP00000345289
Q8NG68	ENSP00000233336
Q15853	ENSP00000340633
P20020	ENSP00000392043
P23193	ENSP00000428426
O14744	ENSP00000380583
P06213	ENSP00000303830
P06681	ENSP00000480739
Q5EB52	ENSP00000376884
P06681	ENSP00000446728
Q15853	ENSP00000222305
Q15853	ENSP00000471099
P20020	ENSP00000261173
Q99424	ENSP00000307697
Q9UL25	ENSP00000261263
Q15853	ENSP00000368429
O14744	ENSP00000380582
Q8N0W5	ENSP00000309261
P54802	ENSP00000225927
O14744	ENSP00000216350
Q8N0W3	ENSP00000368192
Q8N0W5	ENSP00000324901
Q12891	ENSP00000401853
Q92187	ENSP00000231461
Q92187	ENSP00000428914
Q8NCR9	ENSP00000357660
Q9UIM3	ENSP00000398812
Q8IUQ0	ENSP00000428402
Q03169	ENSP00000452634
P24046	ENSP00000412673
Q12891	ENSP00000350387
Q12891	ENSP00000378571
P24046	ENSP00000358463
Q6ZNA5	ENSP00000287474
Q12891	ENSP00000406657
P04062	ENSP00000357357
Q8IUQ0	ENSP00000325506
Q8WWH5	ENSP00000298746
P04062	ENSP00000314508
P24046	ENSP00000481986
P24046	ENSP00000394687
P24046	ENSP00000478846
Q93034	ENSP00000376808
P04062	ENSP00000402577
Q03169	ENSP00000332326
P04062	ENSP00000397986
Q9NV58	ENSP00000428968
Q93034	ENSP00000435376
Q9NV58	ENSP00000342667
Q86YR6	ENSP00000299443
P80294	ENSP00000330587
O75509	ENSP00000296861
O14744	ENSP00000452555
Q9NV58	ENSP00000480369
P51610	ENSP00000309555
Q16661	ENSP00000361662
Q96HN2	ENSP00000315931
Q9Y3T6	ENSP00000265806
Q96HN2	ENSP00000413639
Q9UBR1	ENSP00000324343
Q16653	ENSP00000366115
Q9Y3T6	ENSP00000397555
O00522	ENSP00000344668
Q96HN2	ENSP00000420459
P21452	ENSP00000362403
P31939	ENSP00000236959
Q16653	ENSP00000366085
Q96HN2	ENSP00000420801
Q16653	ENSP00000366091
Q96NU7	ENSP00000266736
Q9NZ63	ENSP00000361524
Q69YG0	ENSP00000306564
Q02338	ENSP00000376183
Q9UKW6	ENSP00000257832
O00522	ENSP00000410909
O00522	ENSP00000378013
Q9UKW6	ENSP00000311010
Q9UKW6	ENSP00000407589
O00522	ENSP00000378011
Q32M84	ENSP00000260723
P08237	ENSP00000345771
Q9UKW6	ENSP00000436386
Q9BTV5	ENSP00000221856
Q02338	ENSP00000350914
Q02338	ENSP00000376184
Q9P1Y6	ENSP00000435360
P49895	ENSP00000354643
O95149	ENSP00000456224
Q2Y0W8	ENSP00000405812
Q8N9Z0	ENSP00000324441
O95149	ENSP00000309831
Q8N9Z0	ENSP00000383922
O95149	ENSP00000454852
Q8N9Z0	ENSP00000471021
O95149	ENSP00000458053
Q2Y0W8	ENSP00000442561
Q8N9Z0	ENSP00000327597
P49895	ENSP00000323198
P28065	ENSP00000372721
P31939	ENSP00000415935
Q8N9Z0	ENSP00000477617
Q8N9Z0	ENSP00000485001
O00522	ENSP00000378015
Q86UY5	ENSP00000428876
Q2Y0W8	ENSP00000351483
Q9Y5G2	ENSP00000481512
Q9Y5G2	ENSP00000429018
Q86UY5	ENSP00000427979
Q86UY5	ENSP00000276699
Q9BY84	ENSP00000298573
Q9UN71	ENSP00000484560
Q2QGD7	ENSP00000374359
Q9UN71	ENSP00000428288
Q86UY5	ENSP00000445218
Q9H336	ENSP00000262207
Q2QGD7	ENSP00000337694
Q9BZY9	ENSP00000350182
Q9UBC0	ENSP00000302630
Q99944	ENSP00000397426
Q9P1Y6	ENSP00000264555
Q99944	ENSP00000390866
Q9BY84	ENSP00000228862
Q6UXV1	ENSP00000293405
Q9P1Y6	ENSP00000410626
Q7Z5A9	ENSP00000418575
Q6P5Q4	ENSP00000411932
Q96NJ3	ENSP00000483662
Q7Z5A9	ENSP00000417496
Q14943	ENSP00000477859
Q96NJ3	ENSP00000439431
Q9H336	ENSP00000429746
Q6KCM7	ENSP00000362159
P08237	ENSP00000352842
Q13117	ENSP00000371887
Q96MG7	ENSP00000330694
P49895	ENSP00000434758
P23280	ENSP00000366662
O14795	ENSP00000367756
P23280	ENSP00000366654
Q7L3S4	ENSP00000323945
P23280	ENSP00000366661
P49895	ENSP00000435725
Q96QE5	ENSP00000462963
P01375	ENSP00000389492
Q9Y2J2	ENSP00000343158
P08237	ENSP00000448177
P49895	ENSP00000373528
Q96QE5	ENSP00000306574
Q7L3S4	ENSP00000416197
Q6KCM7	ENSP00000362160
P08237	ENSP00000449426
Q16653	ENSP00000379932
Q16653	ENSP00000420350
Q6KCM7	ENSP00000362157
Q6KCM7	ENSP00000410053
Q6KCM7	ENSP00000362155
Q6NUT2	ENSP00000315988
P08237	ENSP00000309438
P41143	ENSP00000234961
O14795	ENSP00000479261
Q9UJU3	ENSP00000346305
O60320	ENSP00000261275
P31645	ENSP00000385822
Q16653	ENSP00000366088
Q16653	ENSP00000366095
Q9UJU3	ENSP00000337081
Q16653	ENSP00000379929
Q16653	ENSP00000417405
Q16653	ENSP00000410866
P31645	ENSP00000261707
Q8NG99	ENSP00000303822
Q93086	ENSP00000447545
Q93086	ENSP00000448355
Q9UJ72	ENSP00000352248
Q96GR2	ENSP00000258873
Q93086	ENSP00000225328
Q9UK32	ENSP00000262752
Q9UBC2	ENSP00000471981
Q93086	ENSP00000342161
Q9BXU1	ENSP00000348132
Q9Y2J2	ENSP00000442091
Q13117	ENSP00000371870
Q9UK32	ENSP00000483896
Q9UBC2	ENSP00000393313
P62269	ENSP00000403175
P01106	ENSP00000367207
P14061	ENSP00000466799
P54278	ENSP00000265849
Q13117	ENSP00000371743
P54278	ENSP00000371758
Q13117	ENSP00000371861
P30532	ENSP00000299565
Q9UBC2	ENSP00000248070
Q9UBC2	ENSP00000440103
O15527	ENSP00000305584
Q9BXU1	ENSP00000411852
P61163	ENSP00000358921
Q9UBC2	ENSP00000472267
O15527	ENSP00000342851
Q9BXU1	ENSP00000346660
Q8IVW6	ENSP00000343126
O15527	ENSP00000306561
Q6N063	ENSP00000380544
Q9NQZ5	ENSP00000338030
Q14515	ENSP00000282470
O15527	ENSP00000345520
P01138	ENSP00000358525
P25092	ENSP00000261170
O15527	ENSP00000403598
Q7L1Q6	ENSP00000386474
Q8IVW6	ENSP00000477878
O15527	ENSP00000305527
Q14515	ENSP00000422903
O15527	ENSP00000373337
Q9Y2J2	ENSP00000441174
Q96NU1	ENSP00000342313
O43513	ENSP00000286317
Q7L1Q6	ENSP00000386837
Q7L1Q6	ENSP00000394316
O43513	ENSP00000401046
O15527	ENSP00000303132
P23497	ENSP00000264052
Q14515	ENSP00000414856
P23497	ENSP00000386404
P23497	ENSP00000386427
P02452	ENSP00000225964
P43628	ENSP00000478136
P04733	ENSP00000334872
P23497	ENSP00000343023
P23497	ENSP00000386998
Q9Y5G7	ENSP00000429601
Q9Y5G7	ENSP00000479478
Q8WV37	ENSP00000417424
Q8WV37	ENSP00000471754
O94889	ENSP00000232766
P19387	ENSP00000219252
Q8WV37	ENSP00000335670
P23497	ENSP00000399389
Q9NWT6	ENSP00000299163
Q9Y279	ENSP00000363869
Q9NWC5	ENSP00000319009
Q9Y279	ENSP00000394143
Q8N8V8	ENSP00000329795
Q9Y3N9	ENSP00000392635
Q9Y279	ENSP00000411581
O15394	ENSP00000383392
P35568	ENSP00000304895
O95970	ENSP00000360472
Q3SYG4	ENSP00000242067
Q3SYG4	ENSP00000313122
Q5T4F7	ENSP00000266066
Q3SYG4	ENSP00000379433
Q3SYG4	ENSP00000347182
O95970	ENSP00000360467
Q9H5V9	ENSP00000320345
Q9H5V9	ENSP00000441786
P07602	ENSP00000378394
Q9Y4D2	ENSP00000257215
Q3SYG4	ENSP00000405151
O75781	ENSP00000264560
Q9H3T2	ENSP00000357909
Q9H3T2	ENSP00000357908
Q9H3T2	ENSP00000357910
Q14134	ENSP00000343129
Q9H3T2	ENSP00000344148
Q7Z5G4	ENSP00000429329
Q68CP4	ENSP00000368965
Q7Z6J2	ENSP00000293662
O75781	ENSP00000341911
Q16828	ENSP00000279488
Q5TA81	ENSP00000357772
Q8TDQ0	ENSP00000312002
Q16828	ENSP00000307835
Q5JSH3	ENSP00000254029
Q7Z6J2	ENSP00000449492
Q5JSH3	ENSP00000360890
Q86W28	ENSP00000291971
Q7Z5G4	ENSP00000429480
Q86W28	ENSP00000468121
Q9Y5G4	ENSP00000480862
Q5JSH3	ENSP00000360887
Q9Y5G4	ENSP00000460274
Q5MJ70	ENSP00000368898
Q5MJ70	ENSP00000335628
Q7Z5G4	ENSP00000350378
O75379	ENSP00000236192
O75379	ENSP00000435933
Q7Z5G4	ENSP00000386030
O75379	ENSP00000356714
P07438	ENSP00000334998
Q6P9F5	ENSP00000389607
Q6P9F5	ENSP00000416663
Q9Y2B1	ENSP00000261234
P13497	ENSP00000305714
Q6P9F5	ENSP00000483120
Q9BYQ4	ENSP00000458594
Q15047	ENSP00000271640
Q15047	ENSP00000357958
P06681	ENSP00000407961
Q9UI14	ENSP00000222008
P13497	ENSP00000428332
Q15047	ENSP00000357965
Q9UN70	ENSP00000481219
Q96JN0	ENSP00000360144
Q96JN0	ENSP00000348298
Q96JN0	ENSP00000360138
O43908	ENSP00000310216
Q96JN0	ENSP00000443431
Q96GQ7	ENSP00000360828
P06681	ENSP00000446639
Q9UNG2	ENSP00000385470
P16930	ENSP00000385080
P06681	ENSP00000482616
P58546	ENSP00000376800
Q96GV9	ENSP00000326110
P16930	ENSP00000261755
Q96GV9	ENSP00000422836
Q3SX64	ENSP00000372143
Q16831	ENSP00000330032
Q96GQ7	ENSP00000483495
Q96GV9	ENSP00000421270
P16930	ENSP00000453347
Q9H9S3	ENSP00000298428
Q3SX64	ENSP00000318029
P16930	ENSP00000454271
P14649	ENSP00000450385
Q9H9S3	ENSP00000302048
Q9UN70	ENSP00000312070
Q9UDV6	ENSP00000338572
Q9BYG4	ENSP00000343144
Q6UXN8	ENSP00000348074
P14649	ENSP00000446643
Q9H9S3	ENSP00000368319
Q9BYG4	ENSP00000468735
P59991	ENSP00000354001
Q32P28	ENSP00000236040
Q32P28	ENSP00000296388
Q13423	ENSP00000264663
Q13948	ENSP00000484760
Q13423	ENSP00000343873
Q9NTX9	ENSP00000351040
P30511	ENSP00000373007
Q32P28	ENSP00000380245
Q9NTX9	ENSP00000354056
Q16831	ENSP00000408899
Q16831	ENSP00000378931
Q16831	ENSP00000378927
Q14320	ENSP00000377225
Q16831	ENSP00000413611
Q9H920	ENSP00000354571
P13497	ENSP00000306121
Q05996	ENSP00000458991
P17050	ENSP00000379680
P28289	ENSP00000259365
P28289	ENSP00000364318
P17050	ENSP00000385283
P28289	ENSP00000378637
Q05996	ENSP00000460971
Q13948	ENSP00000292538
Q8IY21	ENSP00000377344
A8MZ36	ENSP00000382086
Q9BYQ3	ENSP00000458819
P17050	ENSP00000384603
Q9Y462	ENSP00000362260
Q13948	ENSP00000377410
Q9Y462	ENSP00000276123
Q70HW3	ENSP00000336801
Q13948	ENSP00000449371
Q5CZC0	ENSP00000401306
P13611	ENSP00000265077
Q9Y462	ENSP00000353922
Q14952	ENSP00000483315
Q5T1N1	ENSP00000359018
P61289	ENSP00000466794
P13497	ENSP00000428665
Q9BUE6	ENSP00000365159
P13497	ENSP00000430406
Q5T1N1	ENSP00000436835
Q92674	ENSP00000362017
P13611	ENSP00000421362
Q9GZM5	ENSP00000361499
Q5T1N1	ENSP00000359012
P61289	ENSP00000409487
Q9BXA9	ENSP00000458360
P15813	ENSP00000357153
Q9BXA9	ENSP00000441823
Q92674	ENSP00000362018
Q5T1N1	ENSP00000432262
Q9BXA9	ENSP00000439975
P13611	ENSP00000342768
Q92674	ENSP00000399274
P13611	ENSP00000340062
P61289	ENSP00000293362
P07327	ENSP00000209668
P07996	ENSP00000260356
Q9BUU2	ENSP00000371345
O14905	ENSP00000482127
Q5VV63	ENSP00000476902
Q9C0A1	ENSP00000413418
Q9NRG4	ENSP00000355924
Q53RY4	ENSP00000288873
Q9BUU2	ENSP00000163678
Q96P66	ENSP00000298110
Q99942	ENSP00000401172
Q53RY4	ENSP00000384689
Q53RY4	ENSP00000442400
Q5VV63	ENSP00000347152
Q96L73	ENSP00000395929
E9PJI5	ENSP00000431814
Q96P48	ENSP00000352332
P39880	ENSP00000353401
Q96L73	ENSP00000343209
P19526	ENSP00000312021
P39880	ENSP00000409745
P39880	ENSP00000292535
P39880	ENSP00000446630
P39880	ENSP00000447373
Q9BZ19	ENSP00000396747
P39880	ENSP00000450125
P39880	ENSP00000451558
Q96L73	ENSP00000346111
Q9P0L2	ENSP00000355885
Q8WU66	ENSP00000321987
P81133	ENSP00000358210
P07437	ENSP00000410071
Q7L3B6	ENSP00000371278
P08319	ENSP00000424630
P08319	ENSP00000265512
P81133	ENSP00000262901
Q9P0L2	ENSP00000355884
Q13948	ENSP00000414091
P08319	ENSP00000425416
Q5SQI0	ENSP00000393868
P47710	ENSP00000246891
Q8N1V2	ENSP00000379521
P47710	ENSP00000422611
Q96P48	ENSP00000377230
Q9H4L5	ENSP00000315410
Q8N1V2	ENSP00000339449
Q2KHT4	ENSP00000336816
Q3SXR2	ENSP00000386219
Q9HB21	ENSP00000357986
Q96P48	ENSP00000335506
Q96P48	ENSP00000377233
Q6ZT12	ENSP00000272793
Q9HB21	ENSP00000376547
O00541	ENSP00000346725
Q8NEU8	ENSP00000258530
Q9HB21	ENSP00000357984
Q8WXA8	ENSP00000322617
Q9HB21	ENSP00000394416
Q96P48	ENSP00000403127
P0C7Q2	ENSP00000436682
Q5HY98	ENSP00000409652
Q2KHT4	ENSP00000379596
Q6ZN32	ENSP00000430271
Q2KHT4	ENSP00000398384
P11717	ENSP00000349437
Q9Y485	ENSP00000309690
Q2KHT4	ENSP00000405032
Q8TBG9	ENSP00000418994
Q8TCD1	ENSP00000480941
O15371	ENSP00000216190
Q6ZT12	ENSP00000396068
Q8TCD1	ENSP00000323199
Q8NEU8	ENSP00000444472
Q2KHT4	ENSP00000441718
Q8TCD1	ENSP00000462538
Q9H4L5	ENSP00000386429
O15371	ENSP00000385812
Q86UD1	ENSP00000332613
Q96QC0	ENSP00000365694
Q8NEU8	ENSP00000446917
Q9H4L5	ENSP00000379708
Q8TBG9	ENSP00000295894
Q9H4L5	ENSP00000386801
Q96JF0	ENSP00000355273
Q9HA90	ENSP00000414597
Q9H4L5	ENSP00000386325
Q6P3X8	ENSP00000355424
P60411	ENSP00000381009
Q96JF0	ENSP00000386942
A8MVA2	ENSP00000375150
O00487	ENSP00000386541
Q9H4L5	ENSP00000386990
Q6P3X8	ENSP00000331643
Q96JF0	ENSP00000387332
Q5SQI0	ENSP00000411362
Q9H4L5	ENSP00000379706
Q9Y6I8	ENSP00000386385
Q9H4L5	ENSP00000386953
Q13641	ENSP00000358765
Q9Y6I8	ENSP00000343071
Q13641	ENSP00000440049
Q13641	ENSP00000441219
Q8IZQ5	ENSP00000434511
Q8IZQ5	ENSP00000373509
Q3SYC2	ENSP00000198801
Q3SYC2	ENSP00000436537
P16444	ENSP00000376807
Q3SYC2	ENSP00000436283
Q5SQI0	ENSP00000411050
P02749	ENSP00000205948
P16444	ENSP00000261615
Q9ULG1	ENSP00000355205
Q5SQI0	ENSP00000416925
P16444	ENSP00000397313
O00541	ENSP00000334612
Q5SQI0	ENSP00000415408
Q7Z739	ENSP00000473496
P32297	ENSP00000452896
Q5SQI0	ENSP00000405036
P32297	ENSP00000267951
A6ND91	ENSP00000366114
Q96Q80	ENSP00000384744
P60369	ENSP00000375478
P32297	ENSP00000315602
A6ND91	ENSP00000373860
Q96S21	ENSP00000248139
Q8NFN8	ENSP00000417261
Q8NFN8	ENSP00000418758
Q5VV41	ENSP00000367629
Q8NFN8	ENSP00000324553
Q96Q80	ENSP00000315303
Q96Q80	ENSP00000419399
Q5VV41	ENSP00000367624
Q9BZE9	ENSP00000306625
Q9ULG1	ENSP00000384686
Q5VV41	ENSP00000367622
Q9BZE9	ENSP00000302176
Q9NUQ9	ENSP00000429150
Q6UY01	ENSP00000325978
Q96S21	ENSP00000445050
Q96S21	ENSP00000438382
Q15825	ENSP00000276410
Q96S21	ENSP00000438492
Q6UY01	ENSP00000264676
P31040	ENSP00000264932
Q15825	ENSP00000433871
Q6UY01	ENSP00000429145
Q9BZE9	ENSP00000462329
O95685	ENSP00000360035
Q9P0S3	ENSP00000376161
Q9P0S3	ENSP00000326869
Q9NUQ9	ENSP00000428117
Q9UBK7	ENSP00000376872
Q9NUQ9	ENSP00000429802
Q9NUQ9	ENSP00000384880
O43248	ENSP00000446680
Q9P0S3	ENSP00000376160
Q9NUQ9	ENSP00000429078
Q8IYB4	ENSP00000419975
Q2KHT3	ENSP00000387122
P23469	ENSP00000254667
Q8TAE7	ENSP00000304127
Q8TAE7	ENSP00000378424
Q8IYB4	ENSP00000263962
A6NFY7	ENSP00000368165
Q2KHT3	ENSP00000386495
Q8IYB4	ENSP00000418440
Q53GA4	ENSP00000483602
P23469	ENSP00000303350
Q8IYB4	ENSP00000418665
Q4G0G5	ENSP00000469876
Q8IYB4	ENSP00000420555
Q9NP92	ENSP00000424328
Q4G0G5	ENSP00000368502
Q9NUQ9	ENSP00000429978
Q9NUQ9	ENSP00000430674
Q9UBK7	ENSP00000376870
Q96Q06	ENSP00000301286
Q9NUQ9	ENSP00000429499
P31040	ENSP00000427703
Q9NUQ9	ENSP00000430433
Q03933	ENSP00000357440
Q15393	ENSP00000305790
Q12904	ENSP00000350699
P12643	ENSP00000368104
Q9H6A0	ENSP00000350266
Q8IYB4	ENSP00000418054
Q9NNX9	ENSP00000370479
Q8IYB4	ENSP00000417270
Q9H6A0	ENSP00000358767
Q9NS85	ENSP00000459619
Q03933	ENSP00000400380
Q8IYB4	ENSP00000419348
Q12904	ENSP00000378191
Q8IZF4	ENSP00000290823
Q12904	ENSP00000405248
O76054	ENSP00000478755
A8MTY7	ENSP00000375149
Q9H3T3	ENSP00000467290
Q8IYB4	ENSP00000376420
Q9H3T3	ENSP00000465722
Q9H633	ENSP00000414284
P60468	ENSP00000223641
Q6N063	ENSP00000442817
Q9NS85	ENSP00000390666
Q6N063	ENSP00000438327
Q9UBK7	ENSP00000376871
Q9UBK7	ENSP00000387229
P53539	ENSP00000467497
P51149	ENSP00000265062
Q9NS85	ENSP00000405388
P07099	ENSP00000355802
P78396	ENSP00000400666
O94817	ENSP00000425107
Q9NS85	ENSP00000285273
P61812	ENSP00000355897
P28068	ENSP00000414817
Q8IZF4	ENSP00000342981
P61812	ENSP00000355896
P78396	ENSP00000255465
Q6N063	ENSP00000444436
O94817	ENSP00000425164
P07099	ENSP00000272167
P07099	ENSP00000480004
Q6N063	ENSP00000444608
P62861	ENSP00000435370
P35544	ENSP00000435370
A6NGY1	ENSP00000312299
P62861	ENSP00000431822
P35544	ENSP00000431822
Q4QY38	ENSP00000435010
Q4QY38	ENSP00000371640
P62861	ENSP00000434440
P35544	ENSP00000434440
Q8NBN7	ENSP00000391121
Q6N063	ENSP00000438192
P50213	ENSP00000299518
P53539	ENSP00000407207
Q8N9F0	ENSP00000413064
Q9Y3P4	ENSP00000216085
Q2L4Q9	ENSP00000280606
Q6N063	ENSP00000394175
P03999	ENSP00000249389
P59047	ENSP00000375063
Q8NBN7	ENSP00000379547
Q6N063	ENSP00000228922
Q9BX63	ENSP00000259008
O75909	ENSP00000374529
Q6N063	ENSP00000439667
Q01968	ENSP00000360154
P32926	ENSP00000257189
Q01968	ENSP00000349635
Q9ULG3	ENSP00000265068
Q9NX14	ENSP00000367042
Q9ULG3	ENSP00000422539
Q9NX14	ENSP00000276062
Q9H9P5	ENSP00000380606
Q96MP8	ENSP00000275532
Q96MP8	ENSP00000411624
Q8NBN7	ENSP00000477732
O14633	ENSP00000357769
O76054	ENSP00000385186
P61224	ENSP00000250559
O76054	ENSP00000383882
Q9ULX9	ENSP00000345393
P31997	ENSP00000244336
P53539	ENSP00000245919
Q9HCM4	ENSP00000263713
Q9ULX9	ENSP00000384094
P53539	ENSP00000466530
P61224	ENSP00000377085
P53539	ENSP00000414177
Q9ULX9	ENSP00000441482
Q9HCM4	ENSP00000393856
Q9ULX9	ENSP00000388882
Q9HCM4	ENSP00000329687
Q9ULX9	ENSP00000442060
Q9HCM4	ENSP00000393722
Q8TCT6	ENSP00000288680
Q6PUV4	ENSP00000352544
Q9HCM4	ENSP00000390439
P53539	ENSP00000468207
Q6BCY4	ENSP00000435916
B2RXH4	ENSP00000397020
Q6BCY4	ENSP00000299498
Q6PUV4	ENSP00000377346
P53539	ENSP00000485018
B2RXH4	ENSP00000394472
Q6BCY4	ENSP00000437041
Q5TA79	ENSP00000357768
O60645	ENSP00000425587
Q6PUV4	ENSP00000421825
Q8NC26	ENSP00000472747
Q9Y698	ENSP00000300105
Q12800	ENSP00000257915
Q9H9P5	ENSP00000301712
Q12800	ENSP00000447991
P61224	ENSP00000441275
Q9NY25	ENSP00000449999
P61224	ENSP00000439966
Q8N323	ENSP00000251921
P61224	ENSP00000399986
Q9H9P5	ENSP00000248104
O60645	ENSP00000323377
Q8N323	ENSP00000411690
Q8NC26	ENSP00000469998
Q8NC26	ENSP00000471727
O75832	ENSP00000217958
Q8N912	ENSP00000452502
P61224	ENSP00000446318
Q8N912	ENSP00000386487
Q9UFG5	ENSP00000397394
O15405	ENSP00000385705
Q8NC26	ENSP00000318898
Q14684	ENSP00000339145
P61224	ENSP00000444830
Q9UFG5	ENSP00000468688
P61224	ENSP00000440014
Q8NBR0	ENSP00000301057
Q9UFG5	ENSP00000466372
O75832	ENSP00000354906
Q9NQ32	ENSP00000436818
Q9UFG5	ENSP00000467861
Q9NQ32	ENSP00000318999
Q6UXB2	ENSP00000472467
Q6P4A8	ENSP00000240617
O15405	ENSP00000219746
Q8NAP3	ENSP00000426387
Q8NHW6	ENSP00000375849
Q8NHW6	ENSP00000322486
Q8NAP3	ENSP00000406955
Q8NAP3	ENSP00000372635
P43378	ENSP00000482732
P04118	ENSP00000259938
Q12796	ENSP00000336931
Q86Y22	ENSP00000375069
Q99829	ENSP00000336945
Q9NUL3	ENSP00000430611
Q9NZ53	ENSP00000345359
Q8IW50	ENSP00000297620
Q8IW50	ENSP00000392452
Q6ZTZ1	ENSP00000411584
Q6IC83	ENSP00000371529
P35346	ENSP00000293897
P50395	ENSP00000369538
Q99519	ENSP00000399309
Q8WUP2	ENSP00000364926
Q8WUP2	ENSP00000364921
Q538Z0	ENSP00000468007
P50395	ENSP00000369528
Q9Y2B0	ENSP00000273308
Q16557	ENSP00000332215
P05386	ENSP00000346037
Q8WUP2	ENSP00000416387
Q9UKY7	ENSP00000264993
P05386	ENSP00000350437
Q8WUP2	ENSP00000364920
Q8NER1	ENSP00000382661
Q9UKY7	ENSP00000391955
Q16557	ENSP00000480223
Q8NER1	ENSP00000461007
Q8NER1	ENSP00000382659
Q96ME7	ENSP00000347648
Q9BYP9	ENSP00000464818
Q9Y5K8	ENSP00000451167
Q9BYP9	ENSP00000484048
Q9BYP9	ENSP00000480115
Q96ME7	ENSP00000451572
Q96ME7	ENSP00000395660
Q96ME7	ENSP00000407038
Q9Y3D8	ENSP00000370201
P04731	ENSP00000290705
Q9Y320	ENSP00000367562
P0C1S8	ENSP00000380675
E9PIF3	ENSP00000432029
P04731	ENSP00000478425
Q9Y6I4	ENSP00000369681
Q9Y5K8	ENSP00000216442
Q8TBP6	ENSP00000344831
Q8TAA5	ENSP00000329558
Q9Y320	ENSP00000278422
Q8TAA5	ENSP00000397302
Q9ULZ1	ENSP00000391800
Q5T2T1	ENSP00000364884
O15056	ENSP00000347792
Q9NS87	ENSP00000324020
Q9UKY7	ENSP00000413272
Q5T2T1	ENSP00000364871
A6NM03	ENSP00000342697
O75896	ENSP00000232496
O14925	ENSP00000464522
Q9NYW6	ENSP00000247879
Q5T2T1	ENSP00000337907
Q96EP9	ENSP00000273861
Q2VPJ9	ENSP00000320520
Q99829	ENSP00000380587
Q99829	ENSP00000380585
Q86XI8	ENSP00000331363
P27037	ENSP00000241416
Q9H4E5	ENSP00000316729
Q5TA78	ENSP00000357766
Q5TA78	ENSP00000335223
P15814	ENSP00000249053
O43822	ENSP00000344566
P27037	ENSP00000384338
Q9Y4C1	ENSP00000386660
Q96Q80	ENSP00000483693
P20807	ENSP00000350181
D6RB28	ENSP00000488730
P15814	ENSP00000329312
Q96Q80	ENSP00000483251
Q9UBY8	ENSP00000482713
Q15555	ENSP00000407723
Q9Y4C1	ENSP00000386516
P27037	ENSP00000439988
Q96LB4	ENSP00000356352
Q15555	ENSP00000300249
Q15555	ENSP00000446343
Q15555	ENSP00000468588
O43822	ENSP00000381047
Q15555	ENSP00000464921
O43822	ENSP00000317302
Q96LB4	ENSP00000309574
Q15555	ENSP00000396074
Q96LB4	ENSP00000417171
P28332	ENSP00000237653
Q96LB4	ENSP00000281087
Q9Y4C1	ENSP00000323659
Q05639	ENSP00000298049
Q05639	ENSP00000217182
P20807	ENSP00000183936
Q8WUF5	ENSP00000354218
Q9UHA2	ENSP00000401115
Q9UHA2	ENSP00000011691
Q5FYB1	ENSP00000333395
Q9Y5J5	ENSP00000356280
Q5FYB1	ENSP00000426879
Q9Y5J5	ENSP00000356278
P20807	ENSP00000380349
P20807	ENSP00000380384
Q8WUF5	ENSP00000403902
O60279	ENSP00000308727
Q9Y676	ENSP00000397790
Q6P9H5	ENSP00000330374
Q96BZ8	ENSP00000222224
Q8IY22	ENSP00000446100
Q6P9H5	ENSP00000418304
Q8WV48	ENSP00000367662
Q8IY22	ENSP00000440401
Q8WV48	ENSP00000414964
Q8IY22	ENSP00000381120
Q86YA3	ENSP00000424737
Q96N87	ENSP00000323549
Q8WV48	ENSP00000330327
Q8WV48	ENSP00000413003
Q9BXM9	ENSP00000417492
Q8WV48	ENSP00000367665
Q9BYQ2	ENSP00000461584
P04808	ENSP00000223862
Q96GK7	ENSP00000406424
Q86YA3	ENSP00000309095
Q86WV6	ENSP00000331288
Q96GK7	ENSP00000233379
P10323	ENSP00000216139
Q96Q15	ENSP00000402515
Q86YA3	ENSP00000390505
Q86YA3	ENSP00000482897
P20807	ENSP00000336840
Q8WXB1	ENSP00000389684
Q8WXB1	ENSP00000400730
P20807	ENSP00000455254
O43315	ENSP00000219919
Q8WXB1	ENSP00000407622
O43315	ENSP00000441390
P20807	ENSP00000380387
Q8NH87	ENSP00000309012
O94886	ENSP00000355800
Q8WXB1	ENSP00000385481
A6NEF3	ENSP00000421586
Q8WXB1	ENSP00000403317
Q8WXB1	ENSP00000392062
P06132	ENSP00000246337
P28062	ENSP00000372723
O95342	ENSP00000263817
Q8WXB1	ENSP00000415115
P28062	ENSP00000372725
P20807	ENSP00000348667
Q8WUD1	ENSP00000380869
Q15413	ENSP00000399610
Q96EK2	ENSP00000324403
Q15413	ENSP00000373884
Q96DD7	ENSP00000355064
Q8TF64	ENSP00000319254
Q96EK2	ENSP00000379410
Q6NUJ1	ENSP00000317445
P80297	ENSP00000377995
A8MX34	ENSP00000375148
Q8TAI7	ENSP00000301068
O43852	ENSP00000442110
Q6ZVK1	ENSP00000450958
Q6ZVK1	ENSP00000340477
Q9Y6I4	ENSP00000445828
Q8TAI7	ENSP00000446726
A6NCI8	ENSP00000387124
Q99759	ENSP00000461988
Q9H4G0	ENSP00000202028
Q99759	ENSP00000354485
Q5VXU9	ENSP00000378259
Q99759	ENSP00000354927
O14599	ENSP00000371724
Q5VXU9	ENSP00000322108
O60260	ENSP00000355865
O14599	ENSP00000480751
