# UNIPROT	ENSEMBL
P48147	ENSP00000358106
Q15834	ENSP00000311695
P28062	ENSP00000404585
Q8IZL9	ENSP00000322343
O60423	ENSP00000311336
O14508	ENSP00000339428
O14508	ENSP00000448815
Q30KQ6	ENSP00000312702
Q15390	ENSP00000262146
O14508	ENSP00000442898
Q8NGN4	ENSP00000364164
P30461	ENSP00000405178
P03989	ENSP00000405178
P30485	ENSP00000405178
P30487	ENSP00000405178
P18465	ENSP00000405178
P10319	ENSP00000405178
Q9UBM1	ENSP00000379128
Q8NH00	ENSP00000484014
Q9UBM1	ENSP00000379129
O14508	ENSP00000447161
Q9HBJ8	ENSP00000369699
P78356	ENSP00000480776
Q9Y5Z4	ENSP00000475750
P0C1Z6	ENSP00000483971
Q49AG3	ENSP00000398106
Q49AG3	ENSP00000415939
O14508	ENSP00000449227
P24071	ENSP00000480444
Q15390	ENSP00000391502
O14508	ENSP00000481249
P24071	ENSP00000477610
B6A8C7	ENSP00000478234
P24071	ENSP00000481345
O60423	ENSP00000437115
P24071	ENSP00000482518
A0AV02	ENSP00000415713
P02810	ENSP00000481810
Q6ZYL4	ENSP00000476100
Q15813	ENSP00000355560
Q9H2W2	ENSP00000442439
P02810	ENSP00000483458
Q9H2W2	ENSP00000355775
P07478	ENSP00000488338
P02538	ENSP00000369317
Q9HCS2	ENSP00000449703
A6NHQ4	ENSP00000483859
Q9UBU9	ENSP00000453885
Q9UBM1	ENSP00000255389
Q86Y91	ENSP00000465501
Q9UJT1	ENSP00000342399
Q9UBC5	ENSP00000300119
Q9HCS2	ENSP00000430849
P62241	ENSP00000379888
Q53GD3	ENSP00000229729
Q8NGN5	ENSP00000389072
Q9UBM1	ENSP00000379127
Q9UBC5	ENSP00000393392
Q9NX02	ENSP00000479220
Q9NX02	ENSP00000478450
Q9UJV9	ENSP00000422753
Q9NX02	ENSP00000483886
Q9UJT1	ENSP00000377785
Q9NX02	ENSP00000482465
Q9UJT1	ENSP00000365262
Q9UJT1	ENSP00000468518
Q8N4B4	ENSP00000321386
P98187	ENSP00000477567
P03952	ENSP00000264690
A0AV02	ENSP00000377112
Q53GD3	ENSP00000444109
Q8TDI7	ENSP00000351732
P51671	ENSP00000302234
Q53GD3	ENSP00000364712
Q9UJT1	ENSP00000441757
O95167	ENSP00000484436
Q9HCN6	ENSP00000481524
Q8NHC8	ENSP00000478358
P41231	ENSP00000377222
Q9HCN6	ENSP00000478918
Q9H0G5	ENSP00000247026
P04839	ENSP00000367851
Q8IY81	ENSP00000396673
O76000	ENSP00000394571
P41231	ENSP00000310305
Q9UBU9	ENSP00000436679
P59544	ENSP00000479785
P13056	ENSP00000333275
P41231	ENSP00000377221
Q9UJT1	ENSP00000480387
Q9UJT1	ENSP00000320797
Q8NGN6	ENSP00000329689
O15457	ENSP00000263187
P17707	ENSP00000357880
Q9NYV8	ENSP00000484251
O94925	ENSP00000317379
Q9BUB4	ENSP00000310015
Q9GZX9	ENSP00000463331
Q6UXA7	ENSP00000259870
Q9HAW0	ENSP00000220659
Q96PQ6	ENSP00000247956
Q9NYV9	ENSP00000478277
Q9Y6D5	ENSP00000360985
O94925	ENSP00000340689
P13747	ENSP00000390707
Q9GZX9	ENSP00000262120
Q96PQ6	ENSP00000353554
Q9UBU9	ENSP00000294172
P00367	ENSP00000277865
Q15813	ENSP00000384571
Q9NUJ7	ENSP00000381976
Q8WU58	ENSP00000462419
Q15813	ENSP00000439170
Q8WU58	ENSP00000413645
Q9NY27	ENSP00000349124
O15211	ENSP00000407088
P54855	ENSP00000341045
O14810	ENSP00000305613
Q9NUJ7	ENSP00000371073
Q86WN2	ENSP00000418018
Q6UWK7	ENSP00000361199
Q7Z4L0	ENSP00000340568
Q9Y478	ENSP00000229328
P54855	ENSP00000482004
P30876	ENSP00000370625
O95168	ENSP00000184266
Q9Y478	ENSP00000441369
O75976	ENSP00000225719
O95168	ENSP00000419578
Q9NXA8	ENSP00000352830
Q6UX27	ENSP00000480533
Q6UX27	ENSP00000483104
P13056	ENSP00000376813
Q9NUJ7	ENSP00000371079
Q10472	ENSP00000465699
Q15329	ENSP00000414312
Q9BXA5	ENSP00000355156
O75976	ENSP00000444443
P49863	ENSP00000231009
A0AV02	ENSP00000418783
Q8NFF5	ENSP00000317296
P13056	ENSP00000328843
Q9NXA8	ENSP00000368564
P14410	ENSP00000264382
Q9UKZ4	ENSP00000360171
Q8NFF5	ENSP00000357417
Q8NFF5	ENSP00000357416
Q9UKZ4	ENSP00000403954
Q07890	ENSP00000216373
Q9NXA8	ENSP00000476228
Q6P1J6	ENSP00000330442
Q6ZWL3	ENSP00000368079
Q9BRQ5	ENSP00000322249
Q96LW1	ENSP00000327143
Q8NFF5	ENSP00000292180
Q9NXA8	ENSP00000380509
Q07890	ENSP00000445328
Q9NUD9	ENSP00000078527
Q6P9F5	ENSP00000388460
Q9NUD9	ENSP00000363260
Q15329	ENSP00000398124
Q9P107	ENSP00000203556
P0C7P3	ENSP00000391101
Q13145	ENSP00000364683
Q6P9F5	ENSP00000403025
Q6P9F5	ENSP00000447016
Q8NBT3	ENSP00000301204
Q15329	ENSP00000429120
Q8NBM8	ENSP00000274569
Q8IYD2	ENSP00000356123
Q9P107	ENSP00000467054
Q13606	ENSP00000301532
Q9H305	ENSP00000480842
P11086	ENSP00000269582
P30876	ENSP00000312735
Q15075	ENSP00000317955
O95670	ENSP00000365321
Q5VUJ9	ENSP00000355480
Q9HCN6	ENSP00000479668
Q30KQ2	ENSP00000392568
P62945	ENSP00000484734
Q5VUJ9	ENSP00000355479
P43363	ENSP00000359347
S4R3P1	ENSP00000474570
Q8IYD2	ENSP00000356124
Q9HCN6	ENSP00000478674
Q8NBM8	ENSP00000426091
Q10472	ENSP00000269195
Q8NBM8	ENSP00000427166
Q5VUJ9	ENSP00000408661
Q5JT25	ENSP00000363597
Q10472	ENSP00000466411
Q5JT25	ENSP00000276066
O75426	ENSP00000241071
Q86W74	ENSP00000429015
Q96A57	ENSP00000368579
O95670	ENSP00000302194
O95670	ENSP00000419698
Q99666	ENSP00000330842
O75426	ENSP00000419602
Q86W74	ENSP00000335287
P43363	ENSP00000244096
Q96A57	ENSP00000368601
Q86W74	ENSP00000430056
P14314	ENSP00000465489
Q8IYD2	ENSP00000442229
Q96A57	ENSP00000368588
P18615	ENSP00000393005
Q96A57	ENSP00000368581
Q14642	ENSP00000357583
O75426	ENSP00000420239
Q96A57	ENSP00000368585
P53778	ENSP00000215659
Q86W74	ENSP00000428388
Q5SRR4	ENSP00000372917
O75426	ENSP00000416558
Q9Y3A5	ENSP00000246868
Q99666	ENSP00000330023
Q96A57	ENSP00000341364
Q6P1J6	ENSP00000416440
Q9UN19	ENSP00000423602
Q9H293	ENSP00000380417
Q96A57	ENSP00000202834
Q9NZC2	ENSP00000362214
Q5VYJ5	ENSP00000412763
P53778	ENSP00000479972
Q9H3W5	ENSP00000312001
Q9NS68	ENSP00000248484
O95057	ENSP00000325836
Q9H293	ENSP00000328111
O95057	ENSP00000468417
Q9NS68	ENSP00000371693
Q9H3W5	ENSP00000412417
Q9NZC2	ENSP00000362205
Q9NS68	ENSP00000371698
Q8TBB6	ENSP00000231706
Q9NQH7	ENSP00000349658
P46439	ENSP00000256593
Q9NS68	ENSP00000385408
Q6T4P5	ENSP00000430297
Q9NZC2	ENSP00000342651
Q8WTR8	ENSP00000270235
Q9H3W5	ENSP00000397312
P14314	ENSP00000466012
Q9UKA4	ENSP00000025301
O75795	ENSP00000320401
Q14676	ENSP00000387429
Q9BYR8	ENSP00000459883
P13236	ENSP00000478708
P14314	ENSP00000465461
Q16719	ENSP00000264170
Q7Z5A8	ENSP00000358644
Q9BY12	ENSP00000454973
Q7Z5A8	ENSP00000355042
Q16719	ENSP00000364928
Q9UHZ2	ENSP00000485396
O95336	ENSP00000252603
Q6PEW1	ENSP00000308921
Q16719	ENSP00000386731
Q8WV19	ENSP00000354590
Q9BY12	ENSP00000442190
Q9BRY0	ENSP00000269740
Q8N0Y3	ENSP00000480318
P48788	ENSP00000371336
Q01860	ENSP00000405041
P48788	ENSP00000371331
Q01860	ENSP00000413622
Q9BRY0	ENSP00000393715
P48788	ENSP00000371330
P48788	ENSP00000252898
Q96RJ3	ENSP00000291232
Q9H2L4	ENSP00000257663
Q9NVX7	ENSP00000433340
Q08257	ENSP00000359909
Q2M3R5	ENSP00000360462
Q9BU89	ENSP00000250937
Q9C002	ENSP00000379887
O00144	ENSP00000345785
Q8WWY3	ENSP00000478804
Q9NYW0	ENSP00000482990
Q17R98	ENSP00000421863
Q8WWY3	ENSP00000485017
Q9BU89	ENSP00000398882
P78509	ENSP00000392423
P78509	ENSP00000345694
Q9C002	ENSP00000341610
Q9NVX7	ENSP00000415106
Q17R98	ENSP00000368761
Q2M3R5	ENSP00000400932
Q9H8G1	ENSP00000261560
Q7Z404	ENSP00000484205
Q8WWY3	ENSP00000481708
Q16827	ENSP00000281171
Q86VQ1	ENSP00000223145
Q16827	ENSP00000444173
P20472	ENSP00000480913
Q16827	ENSP00000343434
Q8WWY3	ENSP00000484896
Q6NT55	ENSP00000269703
Q9NVX7	ENSP00000378703
Q6NT55	ENSP00000469866
P49903	ENSP00000367893
Q9BY12	ENSP00000326924
P49903	ENSP00000367877
Q16827	ENSP00000404188
Q9NVX2	ENSP00000466588
Q16827	ENSP00000437571
Q09327	ENSP00000345270
Q16827	ENSP00000393449
P49903	ENSP00000441119
Q16827	ENSP00000439234
Q9Y466	ENSP00000357982
Q9H246	ENSP00000235307
Q8WXA3	ENSP00000473462
Q5SQI0	ENSP00000405656
Q9BSV6	ENSP00000483436
Q3KQV3	ENSP00000385099
Q9Y466	ENSP00000357979
Q5TZ20	ENSP00000341291
Q9BSV6	ENSP00000481374
P84243	ENSP00000254810
Q8WXA3	ENSP00000382151
Q8WXA3	ENSP00000373420
Q9Y6Q1	ENSP00000317214
Q8WXA3	ENSP00000404986
Q15126	ENSP00000357452
Q9BSV6	ENSP00000484465
P20036	ENSP00000397139
Q8N9L1	ENSP00000372553
P84243	ENSP00000468714
Q6NUI1	ENSP00000328054
Q9BSV6	ENSP00000482084
H3BUK9	ENSP00000456953
P84243	ENSP00000465813
Q86V71	ENSP00000351280
P04040	ENSP00000241052
P84243	ENSP00000466020
P17041	ENSP00000363556
Q6P2I7	ENSP00000432104
Q96QU8	ENSP00000457341
Q02224	ENSP00000369365
P17041	ENSP00000379143
Q96BZ8	ENSP00000481948
Q86XJ1	ENSP00000266754
Q86XJ1	ENSP00000448955
Q9P013	ENSP00000475615
Q9UBQ0	ENSP00000447058
Q6UXZ4	ENSP00000385143
Q9UBQ0	ENSP00000353786
Q9BZX4	ENSP00000426271
Q96QU8	ENSP00000302790
P22760	ENSP00000232892
Q9BZX4	ENSP00000251776
Q02224	ENSP00000265148
Q08257	ENSP00000339399
C9JCN9	ENSP00000414236
Q6UXZ4	ENSP00000394303
Q5SQI0	ENSP00000409067
Q63HK5	ENSP00000240587
Q3ZCU0	ENSP00000323821
Q86XJ1	ENSP00000439672
Q08257	ENSP00000359908
A0PJZ3	ENSP00000374268
Q6ZUS6	ENSP00000425715
Q9NXR8	ENSP00000320566
Q9NZ01	ENSP00000215567
Q6ZUS6	ENSP00000374260
Q13610	ENSP00000387365
Q9HCU9	ENSP00000353042
Q5SQI0	ENSP00000406071
Q08257	ENSP00000399805
Q9BZX4	ENSP00000421662
Q9Y4X0	ENSP00000262844
Q5SQI0	ENSP00000393269
