# Gene_A	Gene_B	Weight
ENSG00000081803	ENSG00000111783	1.1E-2
ENSG00000069667	ENSG00000111796	8.6E-3
ENSG00000091656	ENSG00000111816	9.9E-3
ENSG00000102935	ENSG00000111834	2E-2
ENSG00000099139	ENSG00000111863	2.1E-2
ENSG00000009694	ENSG00000111879	1.9E-2
ENSG00000075884	ENSG00000111962	1.7E-2
ENSG00000066032	ENSG00000112053	2E-2
ENSG00000042781	ENSG00000112115	2.2E-2
ENSG00000007174	ENSG00000112116	1.1E-2
ENSG00000106536	ENSG00000112116	5.3E-3
ENSG00000048471	ENSG00000112137	2.3E-2
ENSG00000112137	ENSG00000112149	1.3E-2
ENSG00000075884	ENSG00000112182	6.1E-3
ENSG00000100154	ENSG00000112182	1E-2
ENSG00000066032	ENSG00000112183	1.4E-2
ENSG00000013297	ENSG00000112195	1.7E-2
ENSG00000112137	ENSG00000112232	1.4E-2
ENSG00000091656	ENSG00000112238	1.3E-2
ENSG00000033122	ENSG00000112246	3E-2
ENSG00000013297	ENSG00000112290	1.3E-2
ENSG00000112137	ENSG00000112290	2.1E-2
ENSG00000102290	ENSG00000112293	1.8E-2
ENSG00000099139	ENSG00000112394	7E-3
ENSG00000100154	ENSG00000112394	7.6E-3
ENSG00000109452	ENSG00000112394	8E-3
ENSG00000018236	ENSG00000251394	5.4E-3
ENSG00000041515	ENSG00000251394	3.8E-3
ENSG00000060709	ENSG00000251394	4.3E-3
ENSG00000067798	ENSG00000251394	4E-3
ENSG00000072657	ENSG00000251394	1.4E-3
ENSG00000078295	ENSG00000251394	4.2E-3
ENSG00000078328	ENSG00000251394	5.1E-3
ENSG00000080224	ENSG00000251394	3.1E-3
ENSG00000095777	ENSG00000251394	4.2E-3
ENSG00000102935	ENSG00000251394	2.7E-3
ENSG00000104044	ENSG00000251394	2.5E-3
ENSG00000105877	ENSG00000251394	4.8E-3
ENSG00000109339	ENSG00000251394	3.7E-3
ENSG00000111700	ENSG00000251394	2.3E-3
ENSG00000048052	ENSG00000112486	6.1E-3
ENSG00000058091	ENSG00000112486	9.1E-3
ENSG00000072657	ENSG00000112562	6.1E-3
ENSG00000111700	ENSG00000112562	2E-2
ENSG00000069020	ENSG00000112624	1.3E-2
ENSG00000085276	ENSG00000112742	1E-2
ENSG00000104044	ENSG00000263699	1.4E-2
ENSG00000111700	ENSG00000112818	1.7E-2
ENSG00000033122	ENSG00000260225	9.1E-3
ENSG00000067798	ENSG00000260225	1.5E-2
ENSG00000018236	ENSG00000112936	4.2E-3
ENSG00000041515	ENSG00000112936	3.1E-3
ENSG00000044524	ENSG00000112936	3.2E-3
ENSG00000067798	ENSG00000112936	3.7E-3
ENSG00000078295	ENSG00000112936	3.7E-3
ENSG00000078328	ENSG00000112936	4.4E-3
ENSG00000081803	ENSG00000112936	1.7E-3
ENSG00000095777	ENSG00000112936	3.4E-3
ENSG00000102290	ENSG00000112936	2.3E-3
ENSG00000102452	ENSG00000112936	3.9E-3
ENSG00000102466	ENSG00000112936	4.3E-3
ENSG00000102935	ENSG00000112936	2.2E-3
ENSG00000104044	ENSG00000112936	2.1E-3
ENSG00000105877	ENSG00000112936	4.7E-3
ENSG00000111700	ENSG00000112936	1.9E-3
ENSG00000112541	ENSG00000112936	4.3E-3
ENSG00000002746	ENSG00000112964	5.1E-3
ENSG00000072657	ENSG00000112964	2.1E-3
ENSG00000081803	ENSG00000112964	3.2E-3
ENSG00000102452	ENSG00000112964	7.8E-3
ENSG00000104044	ENSG00000112964	4.8E-3
ENSG00000108018	ENSG00000112964	6.8E-3
ENSG00000112530	ENSG00000113068	4.5E-3
ENSG00000102290	ENSG00000113073	1.8E-2
ENSG00000110693	ENSG00000113100	7.7E-3
ENSG00000047648	ENSG00000113140	9.5E-3
ENSG00000108684	ENSG00000272585	1.7E-2
ENSG00000044524	ENSG00000273383	7.4E-3
ENSG00000081803	ENSG00000273383	4.2E-3
ENSG00000113100	ENSG00000273383	2.9E-3
ENSG00000102290	ENSG00000272845	1.3E-2
ENSG00000005108	ENSG00000272641	3.8E-3
ENSG00000018236	ENSG00000272641	4.2E-3
ENSG00000042781	ENSG00000272641	2.4E-3
ENSG00000046889	ENSG00000272641	4E-3
ENSG00000060709	ENSG00000272641	3.6E-3
ENSG00000060718	ENSG00000272641	4.1E-3
ENSG00000067798	ENSG00000272641	3.8E-3
ENSG00000072657	ENSG00000272641	1.1E-3
ENSG00000078328	ENSG00000272641	4.2E-3
ENSG00000081803	ENSG00000272641	1.8E-3
ENSG00000085276	ENSG00000272641	2.9E-3
ENSG00000095777	ENSG00000272641	3.3E-3
ENSG00000102290	ENSG00000272641	2E-3
ENSG00000102452	ENSG00000272641	4.4E-3
ENSG00000102466	ENSG00000272641	4.2E-3
ENSG00000102935	ENSG00000272641	2E-3
ENSG00000105877	ENSG00000272641	4.1E-3
ENSG00000112541	ENSG00000272641	4E-3
ENSG00000113100	ENSG00000272641	1.1E-3
ENSG00000005108	ENSG00000113262	4E-3
ENSG00000042781	ENSG00000113262	2.3E-3
ENSG00000046889	ENSG00000113262	4.1E-3
ENSG00000060709	ENSG00000113262	3.9E-3
ENSG00000067715	ENSG00000113262	3.7E-3
ENSG00000067798	ENSG00000113262	4E-3
ENSG00000072657	ENSG00000113262	1.2E-3
ENSG00000078295	ENSG00000113262	4.1E-3
ENSG00000078328	ENSG00000113262	4.5E-3
ENSG00000079841	ENSG00000113262	3.2E-3
ENSG00000080224	ENSG00000113262	2.7E-3
ENSG00000081803	ENSG00000113262	1.9E-3
ENSG00000095777	ENSG00000113262	3.8E-3
ENSG00000102290	ENSG00000113262	2.2E-3
ENSG00000102466	ENSG00000113262	4.3E-3
