# Gene_A	Gene_B	Weight
ENSG00000048052	ENSG00000101935	1.5E-2
ENSG00000040731	ENSG00000101958	4E-3
ENSG00000067798	ENSG00000101958	6.9E-3
ENSG00000041515	ENSG00000101981	8E-3
ENSG00000091656	ENSG00000269198	7.9E-3
ENSG00000041515	ENSG00000267829	6.2E-3
ENSG00000041515	ENSG00000102069	5.4E-3
ENSG00000046889	ENSG00000102069	1E-2
ENSG00000083067	ENSG00000102195	1.8E-2
ENSG00000091656	ENSG00000102195	8.8E-3
ENSG00000060718	ENSG00000102265	1.6E-2
ENSG00000081803	ENSG00000102271	7.1E-3
ENSG00000002746	ENSG00000102385	1.4E-2
ENSG00000038945	ENSG00000102445	1E-2
ENSG00000060709	ENSG00000102445	1E-2
ENSG00000091656	ENSG00000102468	9.9E-3
ENSG00000040731	ENSG00000102539	1.1E-2
ENSG00000102466	ENSG00000102606	2E-2
ENSG00000101333	ENSG00000102837	1.6E-2
ENSG00000102290	ENSG00000102854	2.1E-3
ENSG00000078328	ENSG00000102878	1.1E-2
ENSG00000075884	ENSG00000102897	1.5E-2
ENSG00000013297	ENSG00000102904	1E-2
ENSG00000042781	ENSG00000102904	1.5E-2
ENSG00000047648	ENSG00000102904	1.2E-2
ENSG00000042781	ENSG00000102924	1.6E-2
ENSG00000046889	ENSG00000102924	1E-2
ENSG00000102290	ENSG00000102967	8.4E-3
ENSG00000058091	ENSG00000102970	1.3E-2
ENSG00000060709	ENSG00000102996	1E-2
ENSG00000009694	ENSG00000103089	2.3E-2
ENSG00000099139	ENSG00000103089	1.8E-2
ENSG00000079841	ENSG00000103154	1.1E-2
ENSG00000102935	ENSG00000103202	1.9E-2
ENSG00000041515	ENSG00000103241	5.8E-3
ENSG00000102935	ENSG00000103245	8.3E-3
ENSG00000102290	ENSG00000103310	4.7E-3
ENSG00000047617	ENSG00000103375	1.9E-2
ENSG00000075213	ENSG00000103534	1.9E-2
ENSG00000102290	ENSG00000103599	4.7E-3
ENSG00000100154	ENSG00000103657	9.8E-3
ENSG00000044524	ENSG00000103710	1.8E-2
ENSG00000047648	ENSG00000103710	1.7E-2
ENSG00000048052	ENSG00000103710	1.3E-2
ENSG00000075213	ENSG00000103710	1.3E-2
ENSG00000041515	ENSG00000103888	5.5E-3
ENSG00000100154	ENSG00000103932	7E-3
ENSG00000021645	ENSG00000104055	8.6E-3
ENSG00000104044	ENSG00000104055	1.2E-2
ENSG00000102290	ENSG00000104290	3.1E-3
ENSG00000041515	ENSG00000104332	8.6E-3
ENSG00000058091	ENSG00000104343	1.9E-2
ENSG00000046889	ENSG00000104361	8.2E-3
ENSG00000081803	ENSG00000104368	9.2E-3
ENSG00000102290	ENSG00000104432	6.8E-3
ENSG00000079841	ENSG00000104435	5.3E-3
ENSG00000102290	ENSG00000104435	3E-3
ENSG00000104375	ENSG00000104442	1.7E-2
ENSG00000005108	ENSG00000104490	2E-2
ENSG00000104375	ENSG00000104497	1.8E-2
ENSG00000085276	ENSG00000104537	1.8E-2
ENSG00000018236	ENSG00000104611	8.5E-3
ENSG00000041515	ENSG00000104611	5E-3
ENSG00000101333	ENSG00000104723	1.1E-2
ENSG00000041515	ENSG00000104783	6.8E-3
ENSG00000046889	ENSG00000104833	5.1E-3
ENSG00000041515	ENSG00000104859	6.6E-3
ENSG00000046889	ENSG00000104881	9.8E-3
ENSG00000041515	ENSG00000104938	7E-3
ENSG00000007174	ENSG00000104953	8.3E-3
ENSG00000102935	ENSG00000104960	1.3E-2
ENSG00000013297	ENSG00000104976	7.4E-3
ENSG00000066032	ENSG00000104976	9.7E-3
ENSG00000066032	ENSG00000105143	1.9E-2
ENSG00000095777	ENSG00000105143	1.6E-2
ENSG00000104044	ENSG00000105146	1.4E-2
ENSG00000047617	ENSG00000105219	2.5E-2
ENSG00000047617	ENSG00000105261	1.6E-2
ENSG00000009694	ENSG00000105270	1.4E-2
ENSG00000072657	ENSG00000105270	1.2E-2
ENSG00000099139	ENSG00000105270	1.5E-2
ENSG00000078328	ENSG00000105321	1.3E-2
ENSG00000013297	ENSG00000105327	1E-2
ENSG00000005108	ENSG00000105355	1.8E-2
ENSG00000038945	ENSG00000272985	9E-3
