# Gene_A	Gene_B	Weight
ENSG00000127603	ENSG00000266412	4.2E-3
ENSG00000075884	ENSG00000138386	1.5E-2
ENSG00000131018	ENSG00000138434	9.7E-3
ENSG00000122507	ENSG00000138442	2.1E-2
ENSG00000132549	ENSG00000138468	1.2E-2
ENSG00000120594	ENSG00000138592	1.9E-2
ENSG00000127603	ENSG00000138674	1.7E-2
ENSG00000131018	ENSG00000138674	1.2E-2
ENSG00000122507	ENSG00000138686	2.5E-2
ENSG00000075884	ENSG00000138764	1.3E-2
ENSG00000069667	ENSG00000138767	2.2E-2
ENSG00000109452	ENSG00000138795	2.5E-2
ENSG00000114861	ENSG00000138795	1.3E-2
ENSG00000131558	ENSG00000138796	1.5E-2
ENSG00000120594	ENSG00000139132	1.5E-2
ENSG00000114861	ENSG00000139146	1.4E-2
ENSG00000120594	ENSG00000139278	2.1E-2
ENSG00000128815	ENSG00000139278	1.2E-2
ENSG00000122507	ENSG00000139719	2E-2
ENSG00000069667	ENSG00000139793	2.1E-2
ENSG00000112530	ENSG00000139899	6.1E-3
ENSG00000138829	ENSG00000139899	8.2E-3
ENSG00000127603	ENSG00000139990	1.9E-2
ENSG00000081853	ENSG00000140107	7.4E-3
ENSG00000112530	ENSG00000140107	2.9E-3
ENSG00000138829	ENSG00000140107	3.1E-3
ENSG00000131018	ENSG00000140443	5.8E-3
ENSG00000069667	ENSG00000140471	1.7E-2
ENSG00000099139	ENSG00000140474	1.5E-2
ENSG00000120594	ENSG00000140575	6.8E-3
ENSG00000131374	ENSG00000140836	1.7E-2
ENSG00000131018	ENSG00000140943	1.8E-2
ENSG00000109452	ENSG00000141293	8.6E-3
ENSG00000127603	ENSG00000141424	1.4E-2
ENSG00000069667	ENSG00000141446	8E-3
ENSG00000069020	ENSG00000141456	2E-2
ENSG00000112530	ENSG00000141503	7.8E-3
ENSG00000141376	ENSG00000141562	9.9E-3
ENSG00000131374	ENSG00000141646	1.4E-2
ENSG00000114861	ENSG00000141720	7.1E-3
ENSG00000128815	ENSG00000141905	1.2E-2
ENSG00000134516	ENSG00000141968	8E-3
ENSG00000081853	ENSG00000142449	1.2E-2
ENSG00000141837	ENSG00000142449	1.1E-2
ENSG00000138829	ENSG00000142494	9.1E-3
ENSG00000134516	ENSG00000142634	2.6E-2
ENSG00000109452	ENSG00000142875	1.5E-2
ENSG00000114861	ENSG00000142875	7.1E-3
ENSG00000055609	ENSG00000143033	2.4E-2
ENSG00000131018	ENSG00000143157	1.5E-2
ENSG00000099139	ENSG00000143167	1.5E-2
ENSG00000013297	ENSG00000143196	9.5E-3
ENSG00000120594	ENSG00000143226	1.2E-2
ENSG00000128815	ENSG00000143297	7.5E-3
ENSG00000131374	ENSG00000143376	1.7E-2
ENSG00000109452	ENSG00000143515	1.1E-2
ENSG00000138829	ENSG00000262785	9.4E-3
ENSG00000013297	ENSG00000143994	1.2E-2
ENSG00000141837	ENSG00000143994	9.7E-3
ENSG00000131018	ENSG00000144136	1.5E-2
ENSG00000075884	ENSG00000144228	1.3E-2
ENSG00000055609	ENSG00000144233	1.4E-2
ENSG00000122507	ENSG00000144597	2.2E-2
ENSG00000132549	ENSG00000144674	2.5E-2
ENSG00000131374	ENSG00000144744	2.2E-2
ENSG00000055609	ENSG00000145103	1.2E-2
ENSG00000131018	ENSG00000145216	4.1E-3
ENSG00000145216	ENSG00000145220	5.7E-3
ENSG00000145216	ENSG00000145241	6.2E-3
ENSG00000122507	ENSG00000145246	2.2E-2
ENSG00000128815	ENSG00000145246	8.9E-3
ENSG00000144455	ENSG00000145287	1.7E-2
ENSG00000131374	ENSG00000145349	1.8E-2
ENSG00000069667	ENSG00000145675	1.1E-2
ENSG00000055609	ENSG00000145703	1.6E-2
ENSG00000120594	ENSG00000145703	1.5E-2
ENSG00000127603	ENSG00000145715	1.5E-2
ENSG00000075884	ENSG00000145730	1.2E-2
ENSG00000145216	ENSG00000145779	3.1E-3
ENSG00000145216	ENSG00000145782	5.9E-3
ENSG00000120594	ENSG00000145819	1.1E-2
ENSG00000128815	ENSG00000145882	1E-2
ENSG00000145191	ENSG00000145912	8.5E-3
ENSG00000112530	ENSG00000146013	1.1E-2
ENSG00000109452	ENSG00000146021	2.1E-2
ENSG00000112530	ENSG00000146063	5.5E-3
ENSG00000131374	ENSG00000236428	7.3E-3
ENSG00000113448	ENSG00000146192	1.5E-2
ENSG00000075884	ENSG00000146278	9.5E-3
ENSG00000112530	ENSG00000146378	4.4E-3
ENSG00000141837	ENSG00000146378	9.7E-3
ENSG00000144455	ENSG00000146425	1.4E-2
ENSG00000145216	ENSG00000146457	6.7E-3
ENSG00000145416	ENSG00000146476	1.3E-2
ENSG00000145216	ENSG00000146574	3.4E-3
ENSG00000145216	ENSG00000146731	4.6E-3
ENSG00000145996	ENSG00000146733	2.5E-2
ENSG00000145012	ENSG00000146828	1.5E-2
ENSG00000146592	ENSG00000146828	1.5E-2
ENSG00000127124	ENSG00000146856	1.1E-2
ENSG00000131374	ENSG00000147065	1.1E-2
ENSG00000145216	ENSG00000269334	4.2E-3
ENSG00000114861	ENSG00000147133	9.2E-3
ENSG00000145216	ENSG00000147133	4.4E-3
ENSG00000114861	ENSG00000147162	1.5E-2
ENSG00000132549	ENSG00000147174	2E-2
ENSG00000112530	ENSG00000147206	7.2E-3
ENSG00000075884	ENSG00000147251	3.3E-3
ENSG00000120594	ENSG00000147416	1E-2
ENSG00000145216	ENSG00000147601	8.2E-3
ENSG00000132549	ENSG00000147677	8.1E-3
ENSG00000138829	ENSG00000147889	3.9E-3
ENSG00000075884	ENSG00000147894	1.2E-2
ENSG00000069020	ENSG00000261361	7.3E-3
ENSG00000145216	ENSG00000260501	5E-3
ENSG00000146143	ENSG00000148444	7.7E-3
ENSG00000144455	ENSG00000148450	1.2E-2
ENSG00000146592	ENSG00000148660	2.1E-2
ENSG00000060709	ENSG00000149021	1.1E-2
ENSG00000127124	ENSG00000149021	9.9E-3
ENSG00000141837	ENSG00000149021	1.1E-2
ENSG00000145191	ENSG00000149136	1.4E-2
ENSG00000145012	ENSG00000149177	1.1E-2
ENSG00000099139	ENSG00000149187	6.5E-3
ENSG00000114861	ENSG00000149187	5.1E-3
ENSG00000131018	ENSG00000149187	5.3E-3
ENSG00000134516	ENSG00000149269	1.6E-2
ENSG00000099139	ENSG00000149311	1.6E-2
ENSG00000048471	ENSG00000149346	1.6E-2
ENSG00000112530	ENSG00000149451	1.1E-2
ENSG00000148219	ENSG00000149480	1.6E-2
ENSG00000013297	ENSG00000149571	9.2E-3
ENSG00000145216	ENSG00000149658	7.1E-3
ENSG00000141376	ENSG00000149823	7.2E-3
ENSG00000148219	ENSG00000149925	8.2E-3
ENSG00000112530	ENSG00000149932	4.7E-3
ENSG00000138829	ENSG00000149932	5.9E-3
ENSG00000138829	ENSG00000150281	1.1E-2
ENSG00000075884	ENSG00000150681	4.4E-3
ENSG00000146592	ENSG00000150681	6.5E-3
ENSG00000114861	ENSG00000150907	1.5E-2
ENSG00000127124	ENSG00000151067	1.2E-2
ENSG00000109452	ENSG00000151135	9.3E-3
ENSG00000127603	ENSG00000151414	1.7E-2
ENSG00000134516	ENSG00000151465	2.1E-2
ENSG00000069667	ENSG00000151466	1.1E-2
ENSG00000132549	ENSG00000151466	1.2E-2
ENSG00000145216	ENSG00000151500	5.4E-3
ENSG00000145416	ENSG00000151576	9.4E-3
ENSG00000145996	ENSG00000151576	6E-3
ENSG00000075884	ENSG00000151651	5.4E-3
